transmissionId,transmissionName,numberOfGears,transmissionTypeId
1,ZF 7DT-45,7,2
2,ZF 7DT-50,7,2
3,ZF 8DT-80,8,2
4,ZF 8DT-65,8,2
5,ZF 6DT-70,6,2
6,ZF 7DT-70,7,2
7,ZF 7DT-75,7,2
8,ZF 8DT-80EH,8,2
9,ZF 8DT-65EH,8,2
10,Type 519,4,1
11,Type 644,4,1
12,Type 901,5,1
13,Type 902,5,1
14,Type 915,5,1
15,Type G50,5,1
16,Type G50/20,6,1
17,Type G97/70,7,1
18,Type G86/00,5,1
19,Type G87/01,6,1
20,Type G86/20,6,1
21,Type G87/20,7,1
22,Type G96/96,6,1
23,Type G96/97,6,1
24,ZF 4HP22,4,3
25,ZF 5HP19,5,3
26,ZF 5HP24,5,3
27,ZF 6HP19,6,3
28,ZF 6HP26,6,3
29,ZF 2K-150,2,4
30,ZF 1K-150,1,5